ID	iBAQ.B_bacteriovorus_WCE1_TR01	iBAQ.B_bacteriovorus_WCE1_TR02	iBAQ.B_bacteriovorus_WCE2_TR01	iBAQ.B_bacteriovorus_WCE2_TR02	PFAM_DNA_binding.x	Nuc_vs_Top_ratio	Final_Localization
CAE78603.1	4622900	4256700	5321500	5413100	0	-0.109	NA
CAE78604.1	22761000	21890000	24931000	25443000	0	-2.53	Cytoplasmic
CAE78605.1	28894000	37056000	33557000	34775000	0	-0.848	Cytoplasmic
CAE78606.1	562050000	697660000	782710000	816950000	0	-2.04	Unknown
CAE78608.1	47096000	51189000	53299000	57377000	1	-1.49	Cytoplasmic
CAE78609.1	2368200	2961700	3605900	2691500	0	2.72	Unknown
CAE78611.1	26879000	28766000	27797000	28731000	NA	NA	Cytoplasmic
CAE78612.1	2578700	2209500	2978500	2673700	0	3.43	Unknown
CAE78613.1	25923000	26800000	26640000	27859000	0	5.08	NA
CAE78618.1	1996600	2409100	1690500	2116700	0	7.71	NA
CAE78620.1	2372600	3382500	3510500	4087900	0	4.66	Cytoplasmic Membrane
CAE78623.1	325270000	314880000	339560000	353280000	0	1.83	Cytoplasmic Membrane
CAE78626.1	2496800	2650200	2039600	2252900	NA	NA	Unknown
CAE78634.1	223320000	226750000	313030000	325580000	0	4.86	Unknown
CAE78636.1	399760	311020	343480	438880	0	-1.52	NA
CAE78641.1	1770500	2119300	1897500	2444500	0	1.48	Unknown
CAE78643.1	217640000	254540000	248880000	313350000	0	-0.726	Cytoplasmic
CAE78644.1	110110000	134230000	141750000	151530000	0	-1.77	Cytoplasmic
CAE78647.1	7373700	7038500	8169700	8281600	0	1.11	NA
CAE78648.1	1519700	9508700	9708000	1775000	NA	NA	NA
CAE78649.1	4880100	4139000	5525000	5866700	0	-2.36	Cytoplasmic
CAE78650.1	6967800	7751900	9012100	5415500	0	-1.87	Cytoplasmic
CAE78651.1	122230000	129700000	142250000	150940000	0	-1.23	Cytoplasmic
CAE78656.1	395640000	402410000	443100000	449880000	0	2.45	NA
CAE78657.1	31672000	29523000	39040000	39268000	0	-3.02	Unknown
CAE78658.1	8928200	9792500	10621000	11262000	1	-3.06	NA
CAE78659.1	11990000	13786000	10907000	14557000	1	-3.85	Cytoplasmic
CAE78661.1	223150	400990	0	0	0	-0.777	Cytoplasmic
CAE78663.1	1312100	999960	1523800	1634800	0	0.991	NA
CAE78664.1	1599200	2109800	1589800	1703900	0	0.832	Extracellular
CAE78666.1	2246000	2924200	2306800	4159800	0	8.38	Outer Membrane
CAE78667.1	6409500	4884300	7148300	8250100	0	2.29	Unknown
CAE78668.1	1094600	1103100	1168900	1302600	0	0.908	Cytoplasmic Membrane
CAE78670.1	190290000	186090000	199590000	208400000	1	-1.21	Cytoplasmic
CAE78671.1	17134000	18203000	21075000	19624000	0	-1.01	Cytoplasmic
CAE78673.1	4633800	22257000	7139600	18331000	0	-2.93	Unknown
CAE78674.1	5383500	6643200	5958000	7952600	0	-2.03	Cytoplasmic Membrane
CAE78675.1	341330000	365680000	380050000	383390000	0	-1.04	Cytoplasmic
CAE78676.1	6216600	6661000	7163900	7296400	0	-1.44	NA
CAE78678.1	52263000	53864000	45714000	50863000	0	-1.14	Cytoplasmic
CAE78679.1	1863600	2190800	2363500	1908100	NA	NA	Cytoplasmic
CAE78686.1	1030600	543810	990060	1073400	0	-0.114	NA
CAE78691.1	64876000	61310000	64296000	61942000	0	-1.48	Periplasmic
CAE78692.1	33779000	36982000	34078000	40156000	0	2.53	NA
CAE78693.1	9840100	7765200	10107000	10978000	0	-1.77	Cytoplasmic
CAE78694.1	9319400	9050000	9559700	9885200	0	0.134	Unknown
CAE78696.1	50727000	47557000	58330000	51732000	0	0.177	Unknown
CAE78697.1	10006000	12504000	11974000	11460000	0	-1.02	Cytoplasmic
CAE78698.1	48652000	47583000	63227000	73039000	0	-1.93	NA
CAE78699.1	214710000	207630000	195020000	192450000	0	-1.77	Cytoplasmic Membrane
CAE78702.1	18793000	21184000	18017000	20958000	0	-1.72	Unknown
CAE78707.1	0	0	188180	242720	NA	NA	NA
CAE78711.1	2222100	2280700	2201900	3152300	0	-0.253	NA
CAE78712.1	3730800	2890400	5423500	5274100	0	4.26	Outer Membrane
CAE78713.1	3898300	4250300	3483600	4993100	0	-3.74	Cytoplasmic
CAE78714.1	1784500	3417600	1910700	607880	0	-0.191	Unknown
CAE78716.1	130480000	128330000	130090000	131180000	0	-1.09	Cytoplasmic
CAE78717.1	341290000	323780000	369820000	379280000	0	-0.843	Cytoplasmic
CAE78718.1	211920000	235730000	238990000	246240000	0	-1.79	Cytoplasmic
CAE78719.1	23984000	19687000	29372000	31127000	0	-3.14	Cytoplasmic
CAE78720.1	46829000	59379000	55402000	65485000	0	3.06	Cytoplasmic Membrane
CAE78721.1	8204400	9530900	8612500	10636000	0	-3.05	Cytoplasmic
CAE78724.1	512730	543670	525700	641220	0	-2.42	Cytoplasmic
CAE78725.1	NA	NA	NA	NA	0	-0.207	Unknown
CAE78730.1	81992000	75499000	115030000	120210000	0	3.58	Cytoplasmic
CAE78731.1	195330000	198370000	209780000	225710000	0	4.11	Cytoplasmic
CAE78733.1	14838000	16131000	14561000	17054000	1	-4.73	Cytoplasmic
CAE78737.1	1014000	916410	681600	1145800	NA	NA	Unknown
CAE78738.1	109890000	110630000	86302000	100340000	0	-2.63	NA
CAE78739.1	3.60E+09	3798200000	3954200000	4.34E+09	0	1.99	NA
CAE78740.1	100010000	91055000	89145000	94873000	0	-3.35	NA
CAE78742.1	79028000	69296000	73585000	80960000	0	-1.13	Unknown
CAE78743.1	23619000	23499000	26490000	22830000	0	-1.09	Cytoplasmic
CAE78744.1	7850500	6631600	7061200	4984800	0	-0.18	Cytoplasmic
CAE78745.1	321390000	331750000	354960000	357200000	0	-0.912	Cytoplasmic
CAE78747.1	5444500	5062300	5612000	5634800	0	3.75	Periplasmic
CAE78748.1	1530100	1658800	1804200	1664600	NA	NA	Unknown
CAE78751.1	24169000	21791000	27078000	26940000	1	-0.296	Cytoplasmic
CAE78752.1	11065000	11718000	10148000	11252000	0	4.33	Unknown
CAE78753.1	5579900	7406500	6483600	6302100	0	1.87	Cytoplasmic
CAE78755.1	32555000	30696000	34892000	33651000	0	-0.693	Cytoplasmic
CAE78756.1	16931000	19583000	21188000	20963000	0	-1.65	Cytoplasmic
CAE78757.1	77930000	88652000	81427000	78171000	0	1.94	Cytoplasmic
CAE78758.1	18858000	16319000	20518000	22189000	0	-1.18	Cytoplasmic
CAE78760.1	6403400	7577600	7033900	7015300	0	-1.62	Cytoplasmic
CAE78763.1	429210	640840	357580	564720	0	2.34	Unknown
CAE78769.1	NA	NA	NA	NA	0	3.23	Unknown
CAE78772.1	6028000	6332200	5925400	6538800	0	0.325	Cytoplasmic Membrane
CAE78773.1	1945800	2327300	2241100	2618600	0	0.129	Cytoplasmic Membrane
CAE78774.1	45761000	45860000	51927000	55215000	0	1.43	Periplasmic
CAE78775.1	1085100	1154000	1106500	1184700	0	NA	Unknown
CAE78776.1	19035000	19296000	34992000	38610000	0	-3.73	Cytoplasmic
CAE78777.1	21605000	22751000	43374000	41431000	0	8.26	Cytoplasmic Membrane
CAE78778.1	78117000	86948000	98418000	90587000	0	7.11	Outer Membrane
CAE78779.1	78835000	84643000	91017000	98530000	0	4.93	Unknown
CAE78780.1	63238000	64210000	67417000	67427000	0	1.34	Unknown
CAE78781.1	97502000	90383000	101700000	108720000	0	1.28	Unknown
CAE78782.1	76099000	76788000	86707000	89728000	0	3.85	NA
CAE78783.1	296050000	318510000	311740000	303860000	0	3.92	Cytoplasmic Membrane
CAE78784.1	72502000	50799000	80190000	70324000	0	4.12	Unknown
CAE78785.1	76668000	76822000	71810000	69629000	0	4.22	Unknown
CAE78786.1	12794000	12150000	13620000	13940000	0	1.3	Unknown
CAE78787.1	30354000	36038000	42391000	37606000	0	0.954	Unknown
CAE78788.1	114150000	131100000	130730000	150270000	1	-1.5	NA
CAE78790.1	18236000	18171000	18898000	24738000	0	-3.4	Cytoplasmic
CAE78791.1	6992500	6786100	6684700	8235600	0	-3.71	NA
CAE78792.1	3355900	4121600	4483300	3665600	0	1.38	NA
CAE78793.1	434110000	472020000	546600000	606950000	0	-1.44	Cytoplasmic
CAE78794.1	13684000	12732000	12754000	11610000	0	NA	NA
CAE78795.1	205060000	211650000	223340000	232920000	0	-1.5	Cytoplasmic
CAE78796.1	65790000	60791000	80008000	72964000	0	-0.663	Cytoplasmic Membrane
CAE78797.1	104290000	107740000	107970000	114200000	0	-0.0027	Cytoplasmic Membrane
CAE78798.1	4282300	4475000	9044700	8344400	0	4.61	Cytoplasmic Membrane
CAE78799.1	7194100	14184000	12354000	14759000	0	-0.0369	Cytoplasmic Membrane
CAE78800.1	7203300	7074600	7252100	6736200	0	-2.36	Cytoplasmic
CAE78801.1	13194000	15426000	15816000	19339000	0	-1.22	NA
CAE78802.1	65088000	67046000	70497000	76066000	0	-1.41	Cytoplasmic
CAE78803.1	34957000	34271000	34188000	35699000	0	-0.985	Unknown
CAE78804.1	38449000	41442000	43361000	45081000	0	-0.374	Periplasmic
CAE78805.1	4687900	4689700	4301400	4644100	0	2.87	Cytoplasmic
CAE78808.1	67848000	68125000	80652000	80870000	0	1.52	Unknown
CAE78809.1	39195000	39414000	38248000	43455000	0	3.16	Unknown
CAE78810.1	17895000	16397000	20486000	22998000	0	3.26	Unknown
CAE78811.1	19003000	17953000	20258000	21722000	0	3.69	Unknown
CAE78812.1	38396000	40526000	79582000	77853000	0	5.52	NA
CAE78813.1	11706000	12204000	13815000	15026000	0	3.74	Unknown
CAE78814.1	814570	814160	885250	1031500	NA	NA	Cytoplasmic
CAE78815.1	24022000	21718000	23865000	24750000	1	1.83	Unknown
CAE78816.1	68411000	78484000	73269000	87880000	0	-2.14	Cytoplasmic
CAE78817.1	17597000	20324000	19223000	20241000	0	2.72	Cytoplasmic Membrane
CAE78818.1	13913000	14354000	15288000	14661000	0	3.17	NA
CAE78819.1	NA	NA	NA	NA	0	3.98	Unknown
CAE78820.1	951510000	1.07E+09	1167300000	1.14E+09	0	-1.15	NA
CAE78822.1	3241600	3236900	4146000	4289900	0	0.0921	Unknown
CAE78823.1	20942000	19504000	17404000	16393000	0	-2.83	Cytoplasmic
CAE78824.1	33510000	35583000	37949000	40990000	0	-1.08	Unknown
CAE78825.1	1298100	4287900	3406700	4240100	1	-0.186	Cytoplasmic
CAE78826.1	8446800	7669700	9164100	9785700	0	-1.7	Unknown
CAE78827.1	10696000	15550000	18166000	15122000	0	5.79	Outer Membrane
CAE78828.1	4828600	5011300	4678400	4988100	0	0.799	Unknown
CAE78829.1	4294500	6071600	7824400	8154800	0	-0.8	NA
CAE78831.1	9655100	10519000	15104000	13064000	0	5.49	Outer Membrane
CAE78832.1	7813500	7276100	7818500	7745200	0	4.83	Cytoplasmic Membrane
CAE78838.1	9186700	10769000	11805000	11615000	0	8.08	Outer Membrane
CAE78840.1	236190	182940	0	151040	1	2.65	Cytoplasmic
CAE78841.1	5638000	4926300	6383800	6241000	0	-0.164	Cytoplasmic
CAE78842.1	7482300	6770600	4540400	8437800	0	-0.232	NA
CAE78843.1	8337200	8662600	9275300	10844000	0	-2.14	Cytoplasmic
CAE78844.1	1458800	1843900	1038800	1540500	NA	NA	Unknown
CAE78845.1	3125100	2652100	3414700	3993000	NA	NA	Cytoplasmic
CAE78847.1	29745000	28128000	30568000	28112000	0	-1.5	NA
CAE78851.1	7678900	7846700	8772100	8349100	1	1.77	Unknown
CAE78852.1	809360	1124100	0	851780	NA	NA	NA
CAE78853.1	1848100	1546400	1913500	2102800	NA	NA	Cytoplasmic
CAE78854.1	1387000	1120800	1501200	1203000	NA	NA	NA
CAE78856.1	NA	NA	NA	NA	0	0.0423	Periplasmic
CAE78862.1	NA	NA	NA	NA	0	4.79	Cytoplasmic
CAE78865.1	1451900	1365400	755760	1172800	NA	NA	Cytoplasmic
CAE78866.1	968710	1085000	1080400	1194400	NA	NA	Unknown
CAE78867.1	2446300	2177200	3525500	4617200	0	NA	Cytoplasmic
CAE78868.1	NA	NA	NA	NA	0	3.56	Unknown
CAE78869.1	485390000	483300000	493920000	500210000	0	-1.72	Unknown
CAE78870.1	6774400	8750100	8013100	8298500	0	1.05	Unknown
CAE78871.1	330500	470760	691140	457200	0	-1.23	NA
CAE78872.1	3168400	2735900	421570	3122700	1	-0.828	Cytoplasmic
CAE78873.1	112080000	111920000	144820000	139080000	0	2.15	NA
CAE78877.1	8120000	9502900	10272000	11433000	0	0.741	Unknown
CAE78880.1	487950000	579590000	684880000	635050000	0	-0.24	Cytoplasmic
CAE78881.1	453610000	456770000	509710000	538820000	0	1.73	Unknown
CAE78883.1	20616000	21576000	25660000	26302000	0	-3	Cytoplasmic
CAE78884.1	20033000	19778000	19444000	22406000	NA	NA	NA
CAE78885.1	113370000	115070000	132160000	134630000	0	-1.22	Cytoplasmic
CAE78886.1	13449000	16074000	12635000	17352000	0	-1.32	Cytoplasmic
CAE78890.1	66045000	66987000	70048000	68421000	0	-1.3	Cytoplasmic
CAE78891.1	95661000	101840000	103930000	105900000	0	3.79	Unknown
CAE78892.1	129110000	69819000	92628000	175300000	0	-1.51	Cytoplasmic
CAE78893.1	70149000	74490000	87496000	81431000	1	-0.807	Cytoplasmic
CAE78897.1	78848000	83921000	89924000	89985000	1	-1.02	Cytoplasmic
CAE78898.1	143950000	139140000	142890000	139870000	1	-1.76	Cytoplasmic
CAE78900.1	6438200	7518000	7220600	10094000	0	5.53	Cytoplasmic Membrane
CAE78901.1	11274000	13441000	14254000	13337000	0	-2.04	Cytoplasmic
CAE78902.1	44157000	44825000	46861000	44732000	1	2.45	Cytoplasmic
CAE78904.1	521760000	550270000	580380000	590580000	0	-0.327	Cytoplasmic Membrane
CAE78908.1	70438000	54270000	63549000	68095000	0	6.92	Cytoplasmic
CAE78909.1	79848000	77519000	75222000	81888000	0	6.61	Cytoplasmic
CAE78910.1	17396000	21087000	22935000	26307000	0	2.84	Cytoplasmic
CAE78913.1	150910000	154140000	151950000	138690000	0	-1.43	Periplasmic
CAE78914.1	81683000	83943000	81247000	84251000	0	-1.81	Cytoplasmic
CAE78915.1	2551500	1666300	3721600	4529600	0	-1.46	Cytoplasmic
CAE78916.1	39080000	41335000	41087000	42960000	0	3.2	Cytoplasmic Membrane
CAE78917.1	44757000	47451000	46999000	53690000	0	-1.01	Unknown
CAE78919.1	8994700	7002900	9542600	10369000	NA	NA	Cytoplasmic Membrane
CAE78920.1	3781500	7601500	7956200	8022700	0	-1.37	Unknown
CAE78921.1	1193300000	1152300000	1308400000	1305800000	0	-1.19	Cytoplasmic
CAE78922.1	8632000	8371100	5850400	10121000	1	-1.78	Cytoplasmic
CAE78923.1	3654800	3116400	3048400	3181800	0	-3.4	Cytoplasmic Membrane
CAE78925.1	117970000	121200000	123210000	126710000	0	-1.76	Unknown
CAE78926.1	13662000	13118000	8928200	9914600	0	-2.17	NA
CAE78929.1	10707000	11248000	11718000	13369000	0	-1.77	Cytoplasmic
CAE78933.1	24488000	26236000	36298000	31989000	0	5.05	Outer Membrane
CAE78935.1	4633200	3050000	4775000	4347800	0	6.78	Cytoplasmic Membrane
CAE78938.1	8888900	3490500	5807600	9349900	0	-2.5	NA
CAE78939.1	29736000	39586000	36311000	43831000	0	-2.13	NA
CAE78940.1	9281400	9981600	9764800	12189000	1	1.97	Cytoplasmic
CAE78941.1	17189000	17517000	22026000	22845000	0	0.0167	Unknown
CAE78942.1	3061500	2535800	2314500	1995700	0	-1.5	Periplasmic
CAE78943.1	13675000	14912000	14723000	15685000	0	-0.732	Cytoplasmic Membrane
CAE78944.1	5629400	6270500	7409400	7926100	0	-0.0719	Cytoplasmic
CAE78947.1	23267000	27028000	33298000	31825000	0	9.57	NA
CAE78948.1	36579000	42687000	55411000	55221000	0	-1.12	NA
CAE78949.1	124450000	136160000	135160000	146770000	0	-1.76	Cytoplasmic
CAE78950.1	17017000	18435000	18507000	25360000	1	-2.77	Cytoplasmic
CAE78951.1	12027000	10975000	15553000	13399000	0	2.63	NA
CAE78952.1	7858600	7648100	7692100	8239800	0	-1.71	Cytoplasmic
CAE78954.1	1832500	1644000	1257500	1652500	0	-0.0482	Cytoplasmic
CAE78955.1	70475000	77425000	80209000	80252000	0	4.18	Cytoplasmic
CAE78957.1	29769000	38118000	35491000	36252000	0	4.56	Cytoplasmic Membrane
CAE78958.1	49259000	42532000	50498000	49792000	0	1.74	Cytoplasmic
CAE78959.1	31771000	35909000	39125000	39489000	0	-1.81	Cytoplasmic
CAE78960.1	5147300	4599400	5212600	4563500	0	4.37	NA
CAE78961.1	896760	2452900	5039200	2762900	0	-2.55	Cytoplasmic
CAE78962.1	4438800	4534000	4070600	4705900	0	4.56	Cytoplasmic Membrane
CAE78965.1	8477100	9886400	9169400	10074000	0	-2.22	NA
CAE78966.1	8955700	7727200	14143000	10715000	0	2.27	Cytoplasmic
CAE78967.1	35931000	36610000	23034000	24236000	0	4.03	NA
CAE78968.1	10117000	12451000	10217000	11909000	0	3.28	Unknown
CAE78970.1	11115000	18697000	20204000	21368000	0	-1.7	NA
CAE78971.1	1810500	1820200	1968000	2298700	NA	NA	Cytoplasmic
CAE78972.1	21053000	17648000	19607000	18202000	1	-4.04	Cytoplasmic
CAE78978.1	427540000	441020000	5.18E+08	510380000	0	-1.5	Cytoplasmic
CAE78979.1	161270000	188940000	188560000	206950000	0	-1.63	Cytoplasmic
CAE78980.1	151990000	148890000	142750000	165620000	0	-1.75	Cytoplasmic
CAE78981.1	39096000	35125000	40310000	33929000	0	0.0925	Unknown
CAE78982.1	16258000	17412000	17931000	17215000	0	0.62	NA
CAE78983.1	145550000	149420000	167210000	166460000	0	-1.36	Cytoplasmic
CAE78984.1	154280000	153070000	171140000	187230000	0	-1.27	Cytoplasmic
CAE78986.1	247060000	256410000	271940000	270530000	0	-1.93	NA
CAE78987.1	7127100	7286700	8164800	8670900	0	-2	Unknown
CAE78988.1	10206000	9896500	12284000	10283000	0	-3.93	NA
CAE78989.1	37088000	38528000	37638000	37481000	0	-1.79	Cytoplasmic
CAE78990.1	27619000	33209000	26938000	33802000	0	-2.04	Cytoplasmic
CAE78994.1	696410000	676230000	818870000	801550000	0	0.406	NA
CAE78995.1	65327000	61051000	65025000	63190000	0	3.57	Cytoplasmic Membrane
CAE78997.1	23937000	25985000	31664000	33578000	0	6.39	NA
CAE78998.1	4589900	3308800	4770000	5207000	NA	NA	Cytoplasmic Membrane
CAE78999.1	188100000	175510000	198470000	164380000	0	2.9	Unknown
CAE79002.1	84255000	43564000	98504000	91766000	0	-0.99	Unknown
CAE79003.1	22975000	10678000	12793000	17802000	0	-1.12	Cytoplasmic
CAE79004.1	82737000	86698000	91361000	86854000	0	2.8	Unknown
CAE79005.1	39771000	43207000	42515000	43194000	0	3.02	NA
CAE79006.1	439290000	416370000	513790000	503250000	0	1.56	NA
CAE79007.1	229340000	257290000	281150000	282830000	0	-1.04	Cytoplasmic
CAE79008.1	126720000	132830000	141090000	139510000	0	1.56	Cytoplasmic Membrane
CAE79014.1	NA	NA	NA	NA	0	0.449	Unknown
CAE79017.1	11856000	15147000	15283000	14805000	0	-1.6	Cytoplasmic
CAE79019.1	9309400	9539100	9424700	11223000	0	-0.672	Unknown
CAE79020.1	76243000	77085000	76713000	67965000	0	-1.64	Cytoplasmic
CAE79022.1	21374000	19215000	38389000	33868000	0	6.27	Unknown
CAE79023.1	20016000	20768000	25281000	23113000	0	-0.356	Cytoplasmic
CAE79025.1	3487700	3637200	4117500	4502200	0	5.46	Unknown
CAE79026.1	30105000	29821000	34594000	34804000	0	4.77	Cytoplasmic Membrane
CAE79027.1	78804000	72923000	108600000	108250000	0	3.28	NA
CAE79028.1	14305000	14644000	19159000	17119000	0	4.36	Unknown
CAE79029.1	27571000	27094000	31159000	32488000	0	-1.42	Cytoplasmic
CAE79030.1	27603000	32968000	33976000	38739000	0	1.12	Unknown
CAE79031.1	80047000	84145000	93400000	97775000	0	-1.74	Unknown
CAE79032.1	30912000	30771000	38918000	31856000	1	-0.0184	Cytoplasmic Membrane
CAE79033.1	20776000	23781000	25244000	25415000	0	0.768	Cytoplasmic Membrane
CAE79037.1	9369200	8676300	10042000	10303000	0	1.15	Cytoplasmic
CAE79038.1	5257100	5801300	7595100	6096000	0	8.87	NA
CAE79039.1	9824600	9137200	10066000	9929200	0	0.614	Unknown
CAE79040.1	5150300	5843400	4475100	4346100	0	1.83	Cytoplasmic
CAE79043.1	285470	378970	509410	492120	0	-0.691	Unknown
CAE79044.1	NA	NA	NA	NA	0	3.08	Cytoplasmic Membrane
CAE79045.1	7251800	6673500	7798800	7764200	0	0.739	NA
CAE79048.1	679290	568740	1410300	1334200	NA	NA	Cytoplasmic
CAE79051.1	2199500	2191300	2457700	2429800	0	0.477	Extracellular
CAE79052.1	28469000	27989000	21237000	24966000	0	-2.03	Cytoplasmic
CAE79053.1	56217000	60550000	64681000	63066000	0	-1.44	Unknown
CAE79054.1	52119000	49590000	54291000	56252000	0	-0.706	NA
CAE79055.1	10150000	10531000	9182100	10273000	0	0.269	NA
CAE79056.1	23006000	25158000	23531000	25300000	0	-1.79	Unknown
CAE79058.1	15445000	13476000	14335000	17197000	0	-0.582	NA
CAE79060.1	8637900	9377000	10433000	11814000	0	8.59	NA
CAE79062.1	100530000	102050000	119260000	112720000	0	-1.5	Cytoplasmic
CAE79065.1	193760000	208520000	227900000	231100000	0	-0.863	Cytoplasmic
CAE79073.1	12145000	13401000	13274000	14667000	0	-0.356	Outer Membrane
CAE79074.1	3.70E+07	34078000	39101000	36107000	0	-0.273	Unknown
CAE79075.1	13818000	14554000	16505000	14360000	0	-0.578	Unknown
CAE79077.1	13403000	18360000	148770000	23309000	0	0.028	Unknown
CAE79078.1	10716000	11870000	14439000	13861000	0	-2.45	Cytoplasmic
CAE79080.1	61975000	63090000	66709000	66292000	0	0.734	NA
CAE79081.1	68076000	70350000	86736000	82279000	0	0.811	Cytoplasmic
CAE79082.1	5029800	4878300	5284000	5307700	0	1.42	Cytoplasmic
CAE79086.1	16106000	16301000	18127000	19838000	0	1.66	Unknown
CAE79088.1	NA	NA	NA	NA	0	NA	NA
CAE79095.1	130900000	139620000	136350000	143610000	0	-2.14	NA
CAE79097.1	3623800	4147300	4070300	4634000	0	-0.0474	Cytoplasmic
CAE79098.1	79758000	83938000	106600000	99834000	0	4.03	Cytoplasmic
CAE79099.1	80514000	85854000	88726000	102900000	0	-1.35	Cytoplasmic
CAE79100.1	16468000	17251000	19201000	17330000	0	1.29	Cytoplasmic
CAE79101.1	0	175390	283970	0	NA	NA	Cytoplasmic
CAE79102.1	2149000	4771300	5916700	2537600	0	-2.57	Cytoplasmic
CAE79103.1	1141300	1282000	937500	1294600	NA	NA	Cytoplasmic
CAE79105.1	23119000	24790000	24429000	26606000	0	4.26	Cytoplasmic
CAE79106.1	96096000	110500000	118830000	110290000	0	-1.2	Cytoplasmic
CAE79107.1	4341900	5292400	4473000	4161400	0	-1.04	Unknown
CAE79108.1	6073600	6832100	6863100	7180200	0	-2.24	Cytoplasmic
CAE79109.1	67687000	62599000	79453000	80678000	0	-1.4	NA
CAE79110.1	17296000	14668000	17298000	22697000	0	2.22	Cytoplasmic
CAE79111.1	38409000	40115000	29622000	39339000	0	1.9	Extracellular
CAE79112.1	29209000	43724000	42866000	15456000	0	2.36	NA
CAE79113.1	9177700	10297000	9364500	10913000	0	-3.75	Cytoplasmic
CAE79114.1	95580000	86810000	113460000	121650000	0	-0.119	Unknown
CAE79115.1	10281000	4012700	11382000	9033000	0	0.152	NA
CAE79116.1	19708000	19951000	24745000	22171000	0	3.63	Cytoplasmic Membrane
CAE79118.1	1323800	3434800	1067800	1833400	0	-2.46	Unknown
CAE79119.1	3974300	3896500	3803600	1282400	NA	NA	Cytoplasmic
CAE79125.1	41918000	35060000	35283000	37322000	0	-2.15	NA
CAE79126.1	82790000	71830000	97362000	92489000	1	0.0141	Cytoplasmic Membrane
CAE79127.1	14120000	13884000	15507000	15581000	0	5.62	Cytoplasmic
CAE79128.1	NA	NA	NA	NA	0	-1.33	Extracellular
CAE79129.1	18320000	22171000	22113000	22776000	0	2.72	Cytoplasmic Membrane
CAE79130.1	NA	NA	NA	NA	0	1.47	Cytoplasmic Membrane
CAE79131.1	2693800	2840100	3197100	3195600	0	4.53	Cytoplasmic Membrane
CAE79133.1	13959000	14831000	21492000	23744000	0	6.19	Outer Membrane
CAE79134.1	854460	928380	882300	884360	NA	NA	Unknown
CAE79135.1	9560900	8002200	9151800	9079200	0	-1.85	NA
CAE79136.1	171010000	211090000	208520000	192460000	0	-1.3	Cytoplasmic
CAE79139.1	214810000	286330000	308420000	308210000	0	2.94	Cytoplasmic
CAE79140.1	3239900	410350	10976000	17416000	NA	NA	NA
CAE79141.1	1021200000	1065700000	1109300000	1119100000	1	4.59	Unknown
CAE79142.1	6857600	6990500	7109900	7797500	0	4.48	NA
CAE79143.1	32012000	43282000	41390000	31177000	0	-0.42	NA
CAE79144.1	708750	886990	893240	841610	0	4.43	NA
CAE79147.1	2472600	2098200	2634400	2695100	0	-0.0939	Unknown
CAE79148.1	NA	NA	NA	NA	0	1.52	Unknown
CAE79150.1	50760000	53755000	58349000	57018000	0	-0.769	Cytoplasmic
CAE79151.1	25967000	29435000	28711000	28807000	0	-5.69	Cytoplasmic
CAE79152.1	4278300	5489200	4871100	5390100	0	-3.16	Cytoplasmic
CAE79153.1	32177000	39796000	35934000	38327000	0	-1.94	Cytoplasmic
CAE79155.1	66088000	70788000	71761000	82725000	0	1.4	NA
CAE79158.1	6660000	6731000	12083000	7556500	0	3.81	Unknown
CAE79159.1	15761000	16885000	17248000	15428000	0	6.53	Unknown
CAE79160.1	5078700	4073200	5017800	4873500	0	-1.79	Cytoplasmic
CAE79161.1	49977000	64436000	64255000	60513000	0	-1.58	NA
CAE79165.1	2395600	2245600	2518000	2750200	0	-0.293	Cytoplasmic
CAE79166.1	2570300	2306600	2718400	2613500	0	3.19	NA
CAE79168.1	41191000	40591000	39949000	36493000	0	-1.48	Cytoplasmic
CAE79171.1	775450	1158500	1379600	1061400	NA	NA	NA
CAE79174.1	14811000	13256000	15795000	15813000	1	-0.714	Cytoplasmic
CAE79175.1	10169000	10085000	8086600	10168000	0	5.77	Cytoplasmic Membrane
CAE79180.1	6578400	7167300	7152400	7404400	0	-0.125	Cytoplasmic
CAE79181.1	5574500	5758800	5993400	5416100	NA	NA	Unknown
CAE79182.1	43800000	40865000	45154000	45721000	0	1.23	NA
CAE79183.1	168410000	160960000	178530000	185690000	0	0.178	Cytoplasmic Membrane
CAE79184.1	10549000	11799000	11585000	12696000	1	-0.973	Cytoplasmic
CAE79186.1	2321700000	2208600000	2.34E+09	2618100000	0	1.38	Extracellular
CAE79187.1	582440	558020	626760	630310	0	3.17	NA
CAE79192.1	15438000	15157000	16380000	17470000	0	-0.0322	Cytoplasmic
CAE79194.1	297150000	306860000	313010000	316740000	0	-0.528	Cytoplasmic
CAE79195.1	29148000	31768000	33303000	35204000	1	-2.12	Cytoplasmic
CAE79196.1	17608000	15480000	16368000	16091000	0	-1.92	Cytoplasmic
CAE79197.1	NA	NA	NA	NA	0	-1.96	Unknown
CAE79199.1	NA	NA	NA	NA	0	6.54	NA
CAE79201.1	36627000	34542000	36688000	31287000	0	-2.77	Cytoplasmic
CAE79204.1	55192000	64041000	61467000	75179000	0	-3.77	NA
CAE79205.1	490610	564820	595500	471050	0	0.0164	NA
CAE79209.1	5975600	7281300	7405500	7599200	0	-4.45	Unknown
CAE79210.1	22795000	26319000	27331000	30937000	0	-2.68	Unknown
CAE79211.1	9849400	9790200	16838000	10447000	0	-2.45	Cytoplasmic
