ID	iBAQ.B_bacteriovorus_WCE1_TR01	iBAQ.B_bacteriovorus_WCE1_TR02	iBAQ.B_bacteriovorus_WCE2_TR01	iBAQ.B_bacteriovorus_WCE2_TR02	PFAM_DNA_binding.x	Nuc_vs_Top_ratio	Final_Localization
CAE78200.1	32732000	31642000	35876000	43628000	0	-1.25	Cytoplasmic
CAE78201.1	19541000	16153000	17505000	17447000	0	-0.786	Cytoplasmic
CAE78202.1	16852000	17192000	18987000	19468000	0	3.81	Cytoplasmic Membrane
CAE78203.1	NA	NA	NA	NA	0	3.75	Unknown
CAE78204.1	NA	NA	NA	NA	0	4.27	Periplasmic
CAE78205.1	NA	NA	NA	NA	0	3.6	Periplasmic
CAE78207.1	1993000	2153100	2588900	2557700	0	0.0285	NA
CAE78208.1	30564000	32518000	32093000	37907000	0	1.95	Unknown
CAE78209.1	3590300	3573400	2427000	2548000	0	-0.118	NA
CAE78210.1	8383900	10118000	8688900	10259000	0	0.719	Cytoplasmic Membrane
CAE78211.1	37613000	39101000	39400000	44804000	0	0.856	Unknown
CAE78217.1	4193100	3852000	4349600	4298900	0	0.469	Cytoplasmic
CAE78222.1	80766000	90227000	90523000	102390000	0	-1.26	Cytoplasmic
CAE78223.1	35787000	40674000	42587000	39473000	0	3.76	Cytoplasmic
CAE78224.1	8624200	8889900	7339300	9412500	0	-3.38	Cytoplasmic
CAE78225.1	9586500	9103300	9666100	11357000	0	-3.17	Cytoplasmic
CAE78226.1	924200	1176600	1630000	1046700	NA	NA	Cytoplasmic
CAE78227.1	7623700	7252200	8129000	7283600	1	0.329	Cytoplasmic Membrane
CAE78228.1	25342000	23653000	24887000	27600000	1	-2.46	Cytoplasmic
CAE78229.1	NA	NA	NA	NA	1	-0.351	NA
CAE78230.1	5181700	5370400	6041100	6499300	0	-0.659	Unknown
CAE78232.1	28597000	29151000	31610000	32967000	0	-1.12	Cytoplasmic
CAE78234.1	2698100	3935100	3273900	2750900	0	1.9	Unknown
CAE78236.1	3414800	2860200	4413500	4134500	0	2.93	Unknown
CAE78240.1	74832000	65341000	82186000	68057000	0	-1.21	Cytoplasmic
CAE78242.1	36249000	39093000	37820000	40497000	0	-2.16	Cytoplasmic
CAE78243.1	142430000	131110000	153960000	165130000	0	-1.59	Cytoplasmic
CAE78244.1	11700000	13452000	14366000	14632000	0	0.285	Cytoplasmic
CAE78245.1	13424000	12494000	13911000	13768000	1	-2.82	Cytoplasmic
CAE78246.1	69068000	73978000	77695000	78066000	0	-1.71	Cytoplasmic
CAE78247.1	50110000	48926000	58266000	52046000	0	-1.49	Cytoplasmic
CAE78248.1	16235000	16837000	19500000	17250000	0	-1.28	Cytoplasmic
CAE78249.1	24127000	26789000	28865000	27834000	0	-1.25	Cytoplasmic
CAE78250.1	NA	NA	NA	NA	0	NA	Cytoplasmic Membrane
CAE78253.1	21185000	22606000	22217000	18812000	0	-1.45	Unknown
CAE78254.1	133700000	133250000	138820000	143590000	1	-0.394	NA
CAE78255.1	11661000	11839000	9557600	9999100	0	-2.16	Cytoplasmic
CAE78256.1	3644800	4063200	4257600	5894300	0	-0.72	NA
CAE78257.1	422700000	407730000	444750000	456700000	1	-1.34	Cytoplasmic
CAE78258.1	15301000	17830000	19372000	17879000	0	-0.0651	NA
CAE78259.1	22286000	25178000	25322000	20108000	1	-1.39	Cytoplasmic
CAE78260.1	33869000	33966000	30104000	36911000	0	-1.39	Cytoplasmic
CAE78261.1	55351000	54609000	58472000	61459000	0	1.6	Cytoplasmic
CAE78263.1	1072900000	1.17E+09	1.21E+09	1133800000	0	0.794	Cytoplasmic
CAE78266.1	2436200	2617600	1600900	2251800	0	-0.165	Unknown
CAE78267.1	180360000	187660000	180500000	187820000	0	-1.5	Cytoplasmic
CAE78268.1	15078000	18063000	20334000	19708000	0	-2.55	NA
CAE78269.1	3218600	3410800	5965800	5717200	0	-2.67	Cytoplasmic
CAE78270.1	31495000	37328000	33526000	33501000	0	1.35	Periplasmic
CAE78272.1	42158000	39337000	45177000	47833000	0	-1.73	Cytoplasmic
CAE78275.1	114390000	128010000	122510000	135330000	0	-2.05	NA
CAE78276.1	21883000	26390000	28556000	29868000	0	-0.703	Cytoplasmic
CAE78278.1	1837400	2155800	1458000	1010700	0	0.374	NA
CAE78279.1	1716300	1991500	2881200	1838600	0	0.0571	Cytoplasmic
CAE78280.1	1455100	1234800	1887600	1247000	0	6.77	Unknown
CAE78281.1	781330	1018400	708810	343810	0	1.8	Extracellular
CAE78283.1	NA	NA	NA	NA	0	0.892	Cytoplasmic Membrane
CAE78284.1	40449000	42898000	50338000	44117000	0	-1.23	Cytoplasmic
CAE78285.1	4597300	3356100	6005300	6675600	0	-1.42	Cytoplasmic
CAE78286.1	5771900	6085200	6765700	6448900	0	-1.57	Cytoplasmic
CAE78287.1	6631700	5167000	7652900	4896200	0	-3.05	NA
CAE78288.1	1109600	943810	1081600	1128100	NA	NA	Cytoplasmic
CAE78289.1	10879000	9925800	9785100	13659000	0	0.543	Cytoplasmic
CAE78290.1	4232200	3836600	4244800	4190900	0	-1.86	NA
CAE78291.1	198350000	226710000	212360000	217690000	0	-2.23	NA
CAE78292.1	0	93683	0	0	NA	NA	NA
CAE78293.1	1767300	1860900	1963600	2043000	0	-0.162	Cytoplasmic
CAE78294.1	54707000	53448000	55285000	64892000	0	-1.04	Cytoplasmic
CAE78295.1	129730000	120270000	137360000	138190000	0	-0.148	Unknown
CAE78296.1	43682000	46352000	56552000	54072000	0	1.99	NA
CAE78297.1	20206000	19162000	21694000	20570000	0	-3.32	Unknown
CAE78300.1	833890	793380	879960	709610	NA	NA	Cytoplasmic
CAE78303.1	8927200	9316500	10761000	10540000	1	-0.519	Cytoplasmic
CAE78306.1	1342300	1788100	1518300	1491600	0	-0.827	Cytoplasmic
CAE78308.1	21002000	8213700	14160000	20746000	0	-2.76	Unknown
CAE78310.1	469150000	499880000	541360000	560540000	0	-2.49	Cytoplasmic
CAE78312.1	14643000	17158000	21555000	20342000	1	0.235	Cytoplasmic
CAE78314.1	7647300	9016800	8387200	8437300	0	1.99	Cytoplasmic Membrane
CAE78315.1	133090000	131830000	142830000	144560000	0	-1.46	NA
CAE78316.1	4796600	6404500	5519600	8823600	1	-3.53	NA
CAE78317.1	16712000	14772000	17234000	14682000	0	-3.94	Cytoplasmic
CAE78318.1	6269900	6677100	6563600	6641600	1	-2.45	Cytoplasmic
CAE78319.1	1365100	1294500	1815500	1736300	1	1.17	Cytoplasmic Membrane
